GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     14       2  351827       1.5539     0.060108        0.055   1000
339451       1     895967     901099      7       1  351827        1.066      0.14322        0.151   1000
84069        1     901872     910488      8       1  351827       1.7129      0.04337        0.034   1000
57801        1     934342     936608      8       1  351827     -0.33666      0.63181        0.616   1000
9636         1     948847     949920     29       1  351827     0.026058      0.48961        0.446   1000
54991        1    1017198    1051736     43       4  351827      0.31066      0.37803        0.376   1000
8784         1    1138888    1142163      1       1  351827      -1.2774      0.89927        0.895   1000
126792       1    1167629    1170421     93       2  351827       -1.755      0.96037        0.963   1000
118424       1    1189292    1209234     19       3  351827    -0.094379       0.5376        0.549   1000
6339         1    1215816    1227409      6       1  351827      0.14092      0.44397        0.431   1000
54973        1    1246965    1260067      5       1  351827     -0.66174      0.74593         0.73   1000
83756        1    1266726    1269844     24       1  351827      0.54598      0.29254        0.295   1000
55052        1    1337276    1342693     10       2  351827      -0.2078      0.58231        0.591   1000
441869       1    1353800    1356824    280      14  351827     -0.17572      0.56974        0.559   1000
219293       1    1378152    1405538     15       2  351827     -0.11676      0.54648        0.555   1000
83858        1    1407139    1444852    108       8  351827       1.3274     0.092193        0.095   1000
339453       1    1470158    1475740      1       1  351827     -0.83946      0.79939        0.813   1000
29101        1    1477053    1510262     37       2  351827     0.023822       0.4905        0.503   1000
643988       1    1533388    1535476     13       1  351827       1.1167      0.13207        0.134   1000
984          1    1571100    1590473     16       3  351827       1.0238      0.15297        0.148   1000
728661       1    1591486    1624243     29       4  351827       1.1008       0.1355        0.122   1000
728642       1    1633822    1655999     11       2  351827      0.33514      0.36876        0.376   1000
9906         1    1656277    1677438      1       1  351827     -0.78565      0.78396        0.793   1000
65220        1    1682671    1711508      4       1  351827     -0.86048      0.80524        0.798   1000
163688       1    1846266    1848733    118       9  351827      0.58804      0.27825        0.287   1000
339456       1    1849029    1850740    129       5  351827     0.087969      0.46495        0.479   1000
85452        1    1853390    1935276     50       2  351827      0.12232      0.45132        0.459   1000
199990       1    2115899    2144159     11       3  351827      0.07567      0.46984        0.443   1000
6497         1    2160134    2241652      3       1  351827      -1.7901      0.96328        0.975   1000
79906        1    2251719    2323190     45       5  351827     -0.13536      0.55384        0.545   1000
9651         1    2407754    2436964     17       4  351827    -0.069574      0.52773        0.509   1000
127281       1    2517899    2522908    174       6  351827      0.15503       0.4384        0.477   1000
79258        1    2522078    2564499    276       9  351827      -0.2317      0.59161        0.606   1000
100287898    1    2572807    2706230    125       3  351827     0.052842      0.47893        0.502   1000
63976        1    2985565    3355185      7       1  351827      -1.3011      0.90339        0.908   1000
1953         1    3404506    3528059      6       1  351827     0.072957      0.47092        0.476   1000
49856        1    3547331    3566671     29       4  351827     -0.30752      0.62077        0.612   1000
57470        1    3696784    3713068     21       3  351827      0.47286      0.31816         0.31   1000
9731         1    3728645    3773797    155       6  351827      0.84204      0.19988        0.198   1000
1677         1    3773845    3801993     77       4  351827      0.76567      0.22194         0.21   1000
339448       1    3805697    3816857     44       6  351827        1.171       0.1208        0.111   1000
261734       1    5922870    6052618    192       6  351827       1.6019     0.054587        0.053   1000
8514         1    6052358    6161253     26       2  351827       2.2288     0.012915        0.014   5000
388591       1    6266189    6281359     15       2  351827     -0.46179      0.67788        0.701   1000
23463        1    6281253    6296044     23       2  351827    -0.029155      0.51163        0.504   1000
387509       1    6307406    6321035     38       2  351827     -0.50029      0.69156        0.702   1000
11332        1    6324332    6453826     11       1  351827     -0.62093      0.73268        0.725   1000
83715        1    6484836    6521004     64       2  351827       1.3174     0.093856        0.091   1000
8718         1    6520787    6527432      1       1  351827       1.8245      0.03404        0.033   1000
57449        1    6526152    6580121     31       1  351827        1.323     0.092915        0.092   1000
148479       1    6673756    6684093      5       1  351827      -1.0615      0.85576         0.86   1000
90326        1    6684925    6695646     23       3  351827     -0.76124      0.77674        0.771   1000
23261        1    6845384    7829766     16       1  351827    -0.071488       0.5285         0.54   1000
10911        1    7907672    7913551     32       2  351827      -1.1362      0.87206        0.878   1000
11315        1    8021714    8045342     38       2  351827     -0.89332      0.81416        0.814   1000
473          1    8412464    8877699     56       4  351827       1.2905     0.098433        0.105   1000
765          1    9005893    9035151      4       1  351827    -0.069296      0.52762        0.516   1000
56998        1    9908334    9970316     10       3  351827       0.8407      0.20026        0.187   1000
64802        1   10003486   10045556     11       3  351827      0.91214      0.18085        0.155   1000
23095        1   10270606   10441664      3       2  351827     -0.17116      0.56795        0.565   1000
1676         1   10520588   10532613     51       2  351827       1.5313     0.062843        0.061   1000
10747        1   11086580   11107296      1       1  351827      0.57723      0.28189        0.274   1000
6723         1   11114649   11120091      1       1  351827       1.3973     0.081168        0.085   1000
5394         1   11126675   11159961      4       1  351827      -1.1336      0.87152        0.868   1000
26232        1   11707924   11714888      4       2  351827      0.85716      0.19568        0.204   1000
374946       1   11751781   11780336      2       1  351827     0.091078      0.46372        0.501   1000
4524         1   11845787   11866160     39       6  351827      0.57323      0.28324        0.271   1000
1185         1   11866153   11903201     39       1  351827      0.83424      0.20207        0.215   1000
4878         1   11905766   11907840     26       2  351827       1.1078      0.13397        0.126   1000
5351         1   11994724   12035599     41       2  351827     -0.44674      0.67247        0.684   1000
9927         1   12040238   12073572    105       7  351827     -0.27252      0.60739        0.621   1000
7799         1   14026714   14151574      2       1  351827     -0.78122      0.78266        0.782   1000
55092        1   15479028   15546974     24       2  351827     -0.98014      0.83649        0.848   1000
79180        1   15736391   15756839      6       2  351827      0.52783      0.29881        0.304   1000
842          1   15817896   15851407    180       5  351827     -0.33956      0.63291        0.628   1000
284723       1   16062721   16067884    101       5  351827      0.25012      0.40125        0.383   1000
440567       1   16133657   16134194      2       1  351827      -2.0621       0.9804        0.976   1000
1187         1   16348486   16360548    135       8  351827       1.5042     0.066268        0.061   1000
128272       1   16524599   16539104    291      10  351827      0.56498      0.28604        0.278   1000
79363        1   16558182   16563659     29       2  351827      0.49633      0.30983        0.309   1000
9696         1   17248445   17299474    205       6  351827      -0.1962      0.57777        0.583   1000
4237         1   17300997   17308081     80       3  351827     -0.33105       0.6297        0.641   1000
11240        1   17393256   17445948    228       7  351827     -0.37617      0.64661        0.643   1000
23569        1   17634690   17690495    150       7  351827      -1.5442      0.93873         0.94   1000
353238       1   17698741   17728195     63       2  351827     -0.30636      0.62033        0.611   1000
23352        1   19401000   19536812    122       7  351827     -0.76966      0.77925        0.796   1000
23065        1   19542158   19578053    172       7  351827      0.18137      0.42804        0.443   1000
51154        1   19578075   19586622     18       2  351827     -0.30964      0.62158        0.601   1000
22977        1   19609057   19615280      1       1  351827      -2.2577      0.98802        0.992   1000
8574         1   19629202   19638640      1       1  351827     -0.77804      0.78173        0.765   1000
54896        1   19638740   19658925     82       4  351827      0.55342      0.28999        0.295   1000
4681         1   19969723   19984949     83       5  351827      0.25402      0.39974        0.391   1000
3362         1   19991780   20006055     54       3  351827        2.226     0.013006        0.014   1000
255104       1   20008706   20126424     23       2  351827      0.97629      0.16446        0.149   1000
23252        1   20208356   20239438      5       1  351827       -1.262      0.89652        0.883   1000
5322         1   20386157   20418394     45       6  351827      0.12374      0.45076        0.424   1000
26279        1   20439143   20446059      1       1  351827        1.579     0.057167        0.061   1000
55450        1   20808884   20812728     28       5  351827       1.1987      0.11533        0.124   1000
79594        1   20825941   20834674     12       2  351827     -0.65692      0.74438        0.757   1000
163933       1   20878932   20881513     32       6  351827      -2.0512      0.97987        0.983   1000
978          1   20915444   20945401     51       5  351827       1.2614      0.10358        0.091   1000
8672         1   21132785   21503381    365       5  351827        1.106      0.13437        0.138   1000
84224        1   21766583   21811393    126       8  351827      -1.3339      0.90888        0.913   1000
5909         1   21922708   21996010      8       1  351827      0.82897      0.20356        0.219   1000
84196        1   22004791   22109688     11       1  351827       -1.495      0.93254        0.927   1000
3339         1   22148737   22263750     35       1  351827       -1.084      0.86081        0.879   1000
9923         1   22778344   22857650     20       2  351827      0.27786      0.39056        0.399   1000
80818        1   23685941   23696357     18       2  351827      0.80048      0.21172        0.211   1000
6920         1   23707555   23751269     31       2  351827       1.4682     0.071022        0.069   1000
55616        1   23755056   23810750     62       3  351827    -0.032634      0.51302        0.509   1000
3399         1   23884421   23886285      3       1  351827     -0.60919       0.7288        0.708   1000
6924         1   24069856   24088549    138       3  351827        1.826     0.033925        0.041   1000
3155         1   24128367   24165110     78       1  351827       1.6592     0.048542        0.054   1000
2517         1   24171567   24194859     67       2  351827      -0.1213      0.54828         0.52   1000
1269         1   24197005   24285549      6       1  351827        1.227      0.10992        0.107   1000
90529        1   24683489   24741587     35       2  351827     -0.16185      0.56429        0.564   1000
57185        1   24742245   24799473      6       2  351827    -0.018843      0.50752        0.505   1000
6007         1   25598884   25656936    167       3  351827     -0.71967      0.76413        0.759   1000
26119        1   25870071   25895377     32       3  351827     -0.89718      0.81519        0.841   1000
57190        1   26126667   26144713     14       1  351827     -0.65134      0.74259        0.736   1000
84676        1   26377792   26394142    236       8  351827      0.89178      0.18625         0.21   1000
79927        1   26485511   26489119     36       4  351827      -1.8528      0.96804        0.978   1000
10256        1   26503981   26516375    167       7  351827     -0.97472      0.83515        0.848   1000
64793        1   26560644   26605529    128       7  351827     -0.34753       0.6359        0.647   1000
257101       1   26688125   26701023      4       1  351827      -1.2908      0.90162        0.916   1000
79947        1   26758773   26797797     32       1  351827        0.249      0.40168        0.397   1000
3151         1   26798902   26803133     23       4  351827     -0.42592      0.66492        0.663   1000
101928728    1   27018623   27022896    137       1  351827      0.80324      0.21092        0.209   1000
8289         1   27022522   27108601     49       1  351827      0.67541      0.24971        0.251   1000
55650        1   27113739   27124894    199       4  351827      0.81733      0.20687        0.213   1000
84243        1   27153201   27184092      5       1  351827      0.75449      0.22528        0.208   1000
23038        1   27561007   27635124      3       1  351827      -1.0456      0.85213        0.858   1000
84065        1   27648636   27662891      1       1  351827     -0.54775      0.70807        0.695   1000
2537         1   27992572   27998724    136       2  351827      0.84143      0.20005        0.204   1000
9473         1   28199055   28213196      8       2  351827      -1.9469      0.97423         0.98   1000
6118         1   28218035   28241255     98       6  351827      -0.7125      0.76192        0.763   1000
27293        1   28261456   28285663     28       1  351827      0.37487      0.35388        0.338   1000
2140         1   28296855   28415173     92       4  351827       1.0873      0.13845        0.134   1000
93974        1   28562602   28564616    114       3  351827       1.2133       0.1125         0.11   1000
65979        1   28696093   28826881    491      12  351827      0.27414      0.39199         0.39   1000
1104         1   28832455   28865708      6       1  351827     -0.57941      0.71884        0.728   1000
10691        1   28995234   29042115      2       1  351827      -0.6712      0.74895        0.753   1000
10076        1   29563028   29653325     49       1  351827       1.6595     0.048512        0.068   1000
51538        1   31769832   31838569     48       1  351827       1.3769     0.084278        0.074   1000
347735       1   31882412   31907527     79       5  351827       0.7145      0.23746        0.232   1000
1307         1   32117848   32169768     10       1  351827       3.4152   0.00031868       0.0001  10000
90853        1   32256023   32281630      3       1  351827     -0.34837      0.63622        0.646   1000
3932         1   32716840   32751766      2       1  351827     0.058364      0.47673        0.485   1000
81629        1   32818365   32830098      1       1  351827      0.29178      0.38523        0.389   1000
113452       1   33360196   33367041     72       2  351827      -2.4452      0.99276        0.996   1000
149076       1   33721908   33766321      1       1  351827     -0.59627       0.7245        0.731   1000
127550       1   33772367   33786699    190       7  351827       1.1965      0.11575        0.124   1000
2709         1   35220648   35224113     20       3  351827       1.4375     0.075288         0.08   1000
113444       1   35315963   35325417      9       3  351827      -0.6534      0.74325        0.754   1000
100506144    1   35447127   35450948      3       1  351827     -0.26604       0.6049        0.624   1000
